云南移动
央视频道,#genre#
CCTV1,http://39.130.202.76:6610/gitv_live/CCTV-1-HD/CCTV-1-HD.m3u8
CCTV2,http://39.130.202.76:6610/gitv_live/G_CCTV-2-HD/G_CCTV-2-HD.m3u8
CCTV3,http://223.110.254.137:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8
CCTV3,http://39.130.202.76:6610/gitv_live/CCTV-3/CCTV-3.m3u8
CCTV4,http://39.130.202.76:6610/gitv_live/G_CCTV-4-HD/G_CCTV-4-HD.m3u8
CCTV5,http://223.110.254.137:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8#http://39.130.202.76:6610/gitv_live/CCTV-5/CCTV-5.m3u8
CCTV5+,http://223.110.254.137:6610/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ.m3u8#http://39.130.202.76:6610/gitv_live/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV6,http://223.110.254.137:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8#http://39.130.202.76:6610/gitv_live/CCTV-6/CCTV-6.m3u8
CCTV7,http://223.110.254.137:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8#http://39.130.202.76:6610/gitv_live/G_CCTV-7-HD/G_CCTV-7-HD.m3u8
CCTV8,http://223.110.254.137:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ.m3u8#http://39.130.202.76:6610/gitv_live/G_CCTV-8/G_CCTV-8.m3u8
CCTV9,http://39.130.202.76:6610/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8
CCTV10,http://39.130.202.76:6610/gitv_live/G_CCTV-10-HD/G_CCTV-10-HD.m3u8
CCTV11,http://223.110.254.137:6610/cntv/live1/cctv-11/cctv-11.m3u8#http://39.130.202.76:6610/gitv_live/CCTV-11/CCTV-11.m3u8
CCTV12,http://39.130.202.76:6610/gitv_live/G_CCTV-12-HD/G_CCTV-12-HD.m3u8
CCTV13,http://223.110.254.137:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8#http://223.110.254.137:6610/cntv/live1/cctv-13/cctv-13.m3u8#http://39.130.202.76:6610/gitv_live/CCTV-13/CCTV-13.m3u8
CCTV14,http://39.130.202.76:6610/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8
CCTV15,http://223.110.254.137:6610/cntv/live1/cctv-15/cctv-15.m3u8#http://39.130.202.76:6610/gitv_live/G_CCTV-15/G_CCTV-15.m3u8
